"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@library  ","variable ?@library "
"    org.eclipse.wst.command.env","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant-lib/anttasks.jar            "
"    org.eclipse.equinox.p2.director.app","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/director-ant.jar            "
"    org.eclipse.equinox.p2.metadata.generator","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/generator-ant.jar            "
"    org.eclipse.emf.importer.ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/importer.ecore.tasks.jar            "
"    org.eclipse.help.base","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/helpbase-ant.jar            "
"    org.eclipse.ant.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","lib/antrunner.jar            "
"    org.eclipse.ant.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","lib/remoteAnt.jar            "
"    org.eclipse.emf.importer.rose","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/importer.rose.tasks.jar            "
"    org.eclipse.jdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","jdtCompilerAdapter.jar            "
"    org.eclipse.pde.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/pde-ant.jar            "
"    org.eclipse.emf.ant","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/emf.ant.tasks.jar            "
"    org.eclipse.core.resources","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/resources-ant.jar            "
"    org.eclipse.ant.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","lib/antsupportlib.jar            "
"    org.eclipse.emf.importer.java","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","ant_tasks/importer.java.tasks.jar            "
"    org.eclipse.pde.build","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","lib/pdebuild-ant.jar            "
