"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?/definition/@id ","must exist: ?definition/count/@value ","?definition/count/@value.null net.java.treaty.Operator$REGEX@8a93d9(\d)*|\*|\?|\+|\!  ","variable ?/definition/@id ","variable ?definition/count/@value "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.referencedFileErrors ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.xmlSourceContributions.definition ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.core ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.occurrences ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.comments ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.cleanup ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.navigation ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.selection ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.dependencies ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.grammar ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.expand ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xml.ui.xmlContentType.definition ","?            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.css.ui.cssSourceContributions.definition ","?            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.css.ui.cssContentType.definition ","?            "
"    org.eclipse.jpt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.jpt.ui.reference.inJpaStructureView ","?            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.html.ui.htmlSourceContributions.definition ","?            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.html.ui.occurrences ","?            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.html.ui.htmlContentType.definition ","?            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.jsp.ui.jspSourceContributions.definition ","?            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.jsp.ui.jspContentType.definition ","?            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.sse.ui.sseActiveContext.definition ","?            "
