"plugin","extension point","is aggregated contract","partNo","verification result ","?/fileTypes/@type.null net.java.treaty.Operator$IN@135b92etext","binary  ","variable ?/fileTypes/@type "
"    org.eclipse.debug.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.jsdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.uml2.uml","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.cdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.jem.beaninfo","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.css.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.html.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.team.cvs.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.ecore.xmi","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.dtd.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.jst.ws.axis.consumption.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.xsd","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.jst.jsp.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.importer.rose","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.team.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.jdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.rse.files.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.ecore.sdo","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.ws","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.pde.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.mapping.ecore2ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.codegen","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.ltk.core.refactoring","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.mapping.ecore2xml","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.emf.codegen.ecore","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.birt.report.designer.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
"    org.eclipse.wst.xml.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","text            ",
