"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?scheme/@name ","must exist: ?scheme/@id ","must exist: ?key/@sequence  ","variable ?scheme/@name ","variable ?scheme/@id ","variable ?key/@sequence "
"    org.eclipse.ui.workbench.texteditor","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+D            "
"    org.eclipse.mylyn.context.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+M3+ARROW_UP            "
"    org.eclipse.help.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+W            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+ARROW_UP            "
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+F5            "
"    org.eclipse.pde.runtime","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M3+M2+F1            "
"    org.eclipse.rap.ui.launch","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M3+M2+X R            "
"    org.eclipse.gef","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+=            "
"    org.eclipse.search","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","Ctrl+H            "
"    org.eclipse.ui.console","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+Q C            "
"    org.eclipse.datatools.sqltools.sqleditor","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M3+X            "
"    org.eclipse.ecf.presence.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+P            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+F            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+D E            "
"    org.eclipse.dltk.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+D            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+Q K            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+F12            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M3+ARROW_UP            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+M            "
"    org.eclipse.ui.cheatsheets","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+Q H            "
"    org.eclipse.ui.views.log","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+Q L            "
"    org.eclipse.ui.ide","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+L            "
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+ARROW_UP            "
"    org.eclipse.team.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+Q Y            "
"    org.eclipse.datatools.sqltools.result","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+DEL            "
"    org.eclipse.wst.server.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M3+M2+X R            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+R            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+ARROW_UP            "
"    org.eclipse.tm.terminal","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","Alt+A            "
"    org.eclipse.ui.editors","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","CTRL+SHIFT+Q            "
"    org.eclipse.dltk.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","F3            "
"    org.eclipse.team.svn.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","Subversive Key Bindings Scheme ","org.eclipse.team.svn.ui.keybindings.scheme ","CTRL+ALT+S            "
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+D T            "
"    org.eclipse.cdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","%keybinding.MSVS ","org.eclipse.cdt.ui.visualstudio ","M1+M2+F            "
"    org.eclipse.jst.pagedesigner","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M2+F9            "
"    org.eclipse.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+F5            "
"    org.eclipse.datatools.sqltools.routineeditor","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M1+M3+R            "
"    org.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","%keyConfiguration.default.name ","org.eclipse.ui.defaultAcceleratorConfiguration ","M1+N            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","M2+M3+ARROW_UP            "
